hour_index,datetime,load_MW
1,1/1/2023 1:00,1146.88
2,1/1/2023 2:00,1104.93
3,1/1/2023 3:00,1074.67
4,1/1/2023 4:00,990.17
5,1/1/2023 5:00,985.61
6,1/1/2023 6:00,997.63
7,1/1/2023 7:00,1021.6
8,1/1/2023 8:00,1061.14
9,1/1/2023 9:00,1117.93
10,1/1/2023 10:00,1174.66
11,1/1/2023 11:00,1224.61
12,1/1/2023 12:00,1261.16
13,1/1/2023 13:00,1281.46
14,1/1/2023 14:00,1277.8
15,1/1/2023 15:00,1267.11
16,1/1/2023 16:00,1292.4
17,1/1/2023 17:00,1358.86
18,1/1/2023 18:00,1406.87
19,1/1/2023 19:00,1402.69
20,1/1/2023 20:00,1411.68
21,1/1/2023 21:00,1371.75
22,1/1/2023 22:00,1323.57
23,1/1/2023 23:00,1272.77
24,1/1/2023 0:00,1220.63
25,1/2/2023 1:00,1189.25
26,1/2/2023 2:00,1166.18
27,1/2/2023 3:00,1156.7
28,1/2/2023 4:00,1155.91
29,1/2/2023 5:00,1156.86
30,1/2/2023 6:00,1188.06
31,1/2/2023 7:00,1252.52
32,1/2/2023 8:00,1319.6
33,1/2/2023 9:00,1401.87
34,1/2/2023 10:00,1468.7
35,1/2/2023 11:00,1507.82
36,1/2/2023 12:00,1500.26
37,1/2/2023 13:00,1497.06
38,1/2/2023 14:00,1489.75
39,1/2/2023 15:00,1482.34
40,1/2/2023 16:00,1502.52
41,1/2/2023 17:00,1575.11
42,1/2/2023 18:00,1639.23
43,1/2/2023 19:00,1608
44,1/2/2023 20:00,1581.09
45,1/2/2023 21:00,1526
46,1/2/2023 22:00,1462.31
47,1/2/2023 23:00,1396.82
48,1/2/2023 0:00,1414.32
49,1/3/2023 1:00,1398.63
50,1/3/2023 2:00,1386.44
51,1/3/2023 3:00,1368.22
52,1/3/2023 4:00,1356.76
53,1/3/2023 5:00,1372.57
54,1/3/2023 6:00,1415.22
55,1/3/2023 7:00,1538.97
56,1/3/2023 8:00,1550.84
57,1/3/2023 9:00,1560.4
58,1/3/2023 10:00,1515.11
59,1/3/2023 11:00,1494.84
60,1/3/2023 12:00,1499.14
61,1/3/2023 13:00,1513.76
62,1/3/2023 14:00,1497.73
63,1/3/2023 15:00,1476.53
64,1/3/2023 16:00,1483.04
65,1/3/2023 17:00,1540.16
66,1/3/2023 18:00,1596.78
67,1/3/2023 19:00,1549.47
68,1/3/2023 20:00,1520.42
69,1/3/2023 21:00,1516.25
70,1/3/2023 22:00,1453.07
71,1/3/2023 23:00,1437.12
72,1/3/2023 0:00,1410.46
73,1/4/2023 1:00,1355.67
74,1/4/2023 2:00,1318.15
75,1/4/2023 3:00,1281.38
76,1/4/2023 4:00,1267.96
77,1/4/2023 5:00,1276.56
78,1/4/2023 6:00,1301.86
79,1/4/2023 7:00,1386.86
80,1/4/2023 8:00,1502.01
81,1/4/2023 9:00,1454.68
82,1/4/2023 10:00,1438.15
83,1/4/2023 11:00,1430.28
84,1/4/2023 12:00,1431.81
85,1/4/2023 13:00,1396.77
86,1/4/2023 14:00,1380.57
87,1/4/2023 15:00,1366.58
88,1/4/2023 16:00,1388.14
89,1/4/2023 17:00,1463.92
90,1/4/2023 18:00,1539.46
91,1/4/2023 19:00,1515.11
92,1/4/2023 20:00,1528.58
93,1/4/2023 21:00,1544.29
94,1/4/2023 22:00,1500.47
95,1/4/2023 23:00,1458.79
96,1/4/2023 0:00,1455.35
97,1/5/2023 1:00,1419.12
98,1/5/2023 2:00,1394.94
